Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000269679	-	-	
ENSG00000269680	-	-	
ENSG00000269681	-	-	
ENSG00000269686	-	-	
ENSG00000269688	-	-	
ENSG00000269690	-	-	
ENSG00000269692	-	-	
ENSG00000269693	-	-	
ENSG00000269694	-	-	
ENSG00000269696	-	-	
ENSG00000269699	ZIM2	ZNF656	
ENSG00000269700	-	-	
ENSG00000269706	-	-	
ENSG00000269707	-	-	
ENSG00000269709	-	-	
ENSG00000269711	-	-	
ENSG00000269720	CCDC194	-	
ENSG00000269721	-	-	
ENSG00000269728	-	-	
ENSG00000269729	-	-	
ENSG00000269732	-	-	
ENSG00000269736	-	-	
ENSG00000269737	-	-	
ENSG00000269738	-	-	
ENSG00000269741	-	-	
ENSG00000269742	-	-	
ENSG00000269745	-	-	
ENSG00000269746	-	-	
ENSG00000269749	-	-	
ENSG00000269751	-	-	
ENSG00000269752	-	-	
ENSG00000269753	-	-	
ENSG00000269755	-	-	
ENSG00000269758	-	-	
ENSG00000269761	-	-	
ENSG00000269763	-	-	
ENSG00000269765	-	-	
ENSG00000269766	-	-	
ENSG00000269772	-	-	
ENSG00000269774	-	-	
ENSG00000269776	-	-	
ENSG00000269779	-	-	
ENSG00000269781	-	-	
ENSG00000269782	MIR1470	MIRN1470; hsa-mir-1470	
ENSG00000269783	-	-	
ENSG00000269786	-	-	
ENSG00000269787	-	-	
ENSG00000269788	-	-	
ENSG00000269792	-	-	
ENSG00000269793	-	-	
ENSG00000269794	-	-	
ENSG00000269795	-	-	
ENSG00000269796	-	-	
ENSG00000269799	-	-	
ENSG00000269800	-	-	
ENSG00000269802	-	-	
ENSG00000269804	-	-	
ENSG00000269806	-	-	
ENSG00000269807	-	-	
ENSG00000269808	-	-	
ENSG00000269810	-	-	
ENSG00000269811	-	-	
ENSG00000269813	-	-	
ENSG00000269814	-	-	
ENSG00000269815	-	-	
ENSG00000269821	KCNQ1OT1	KCNQ1-AS2; KvDMR1; KvLQT1-AS; Kncq1; LIT1; NCRNA00012; KCNQ10T1	
ENSG00000269825	-	-	
ENSG00000269826	-	-	
ENSG00000269831	-	-	
ENSG00000269832	-	-	
ENSG00000269834	-	-	
ENSG00000269836	-	-	
ENSG00000269837	-	-	
ENSG00000269839	-	-	
ENSG00000269842	-	-	
ENSG00000269843	-	-	
ENSG00000269845	CCNYL6	-	
ENSG00000269846	-	-	
ENSG00000269848	-	-	
ENSG00000269855	RNF225	-	
ENSG00000269858	EGLN2	HIF-PH1; EIT6; EIT-6; HIFPH1; PHD1; HPH-1; HPH-3	
ENSG00000269859	-	-	
ENSG00000269866	-	-	
ENSG00000269867	-	-	
ENSG00000269871	-	-	
ENSG00000269873	-	-	
ENSG00000269877	-	-	
ENSG00000269879	-	-	
ENSG00000269881	-	-	
ENSG00000269883	-	-	
ENSG00000269885	-	-	
ENSG00000269886	-	-	
ENSG00000269887	-	-	
ENSG00000269888	-	-	
ENSG00000269889	-	-	
ENSG00000269890	-	-	
ENSG00000269891	-	-	
ENSG00000269892	-	-	
ENSG00000269893	SNHG8	NCRNA00060; LINC00060	
ENSG00000269894	-	-	
ENSG00000269895	-	-	
ENSG00000269896	LOC100129534	-	
ENSG00000269897	COMMD3-BMI1	RNF51; BMI1; PCGF4	
ENSG00000269898	-	-	
ENSG00000269899	-	-	
ENSG00000269900	RMRP	NME1; RRP2; CHH; RMRPR	
ENSG00000269901	-	-	
ENSG00000269902	-	-	
ENSG00000269903	-	-	
ENSG00000269904	MAP2K4P1	-	
ENSG00000269905	-	-	
ENSG00000269906	-	-	
ENSG00000269907	-	-	
ENSG00000269908	-	-	
ENSG00000269909	-	-	
ENSG00000269910	-	-	
ENSG00000269911	-	-	
ENSG00000269913	-	-	
ENSG00000269915	-	-	
ENSG00000269916	-	-	
ENSG00000269918	-	-	
ENSG00000269919	-	-	
ENSG00000269920	-	-	
ENSG00000269921	-	-	
ENSG00000269923	-	-	
ENSG00000269924	-	-	
ENSG00000269925	-	-	
ENSG00000269926	-	-	
ENSG00000269927	-	-	
ENSG00000269928	-	-	
ENSG00000269929	-	-	
ENSG00000269930	-	-	
ENSG00000269931	-	-	
ENSG00000269933	-	-	
ENSG00000269934	-	-	
ENSG00000269935	-	-	
ENSG00000269936	-	-	
ENSG00000269937	-	-	
ENSG00000269938	-	-	
ENSG00000269939	-	-	
ENSG00000269940	-	-	
ENSG00000269941	-	-	
ENSG00000269942	-	-	
ENSG00000269944	-	-	
ENSG00000269945	-	-	
ENSG00000269946	-	-	
ENSG00000269947	-	-	
ENSG00000269948	-	-	
ENSG00000269949	-	-	
ENSG00000269950	-	-	
ENSG00000269951	-	-	
ENSG00000269952	-	-	
ENSG00000269954	-	-	
ENSG00000269955	FMC1-LUC7L2	C7orf55; C7orf55-LUC7L2; FMC1	
ENSG00000269956	MKNK1-AS1	-	
ENSG00000269957	-	-	
ENSG00000269958	-	-	
ENSG00000269959	SPACA6P-AS	LINC01129	
ENSG00000269961	-	-	
ENSG00000269962	-	-	
ENSG00000269963	-	-	
ENSG00000269964	MEI4	-	
ENSG00000269965	-	-	
ENSG00000269966	-	-	
ENSG00000269967	-	-	
ENSG00000269968	-	-	
ENSG00000269970	-	-	
ENSG00000269971	-	-	
ENSG00000269972	-	-	
ENSG00000269973	-	-	
ENSG00000269974	-	-	
ENSG00000269975	-	-	
ENSG00000269976	-	-	
ENSG00000269978	-	-	
ENSG00000269979	-	-	
ENSG00000269980	-	-	
ENSG00000269981	-	-	
ENSG00000269982	-	-	
ENSG00000269983	-	-	
ENSG00000269984	-	-	
ENSG00000269985	LOC101927972	-	
ENSG00000269986	-	-	
ENSG00000269987	-	-	
ENSG00000269988	-	-	
ENSG00000269989	-	-	
ENSG00000269990	-	-	
ENSG00000269993	-	-	
ENSG00000269994	LINC02893	-	
ENSG00000269996	-	-	
ENSG00000269997	-	-	
ENSG00000269998	-	-	
ENSG00000269999	-	-	
ENSG00000270000	-	-	
ENSG00000270001	-	-	
ENSG00000270002	-	-	
ENSG00000270005	-	-	
ENSG00000270006	C16orf95-DT	-	
ENSG00000270008	-	-	
ENSG00000270009	-	-	
ENSG00000270010	-	-	
ENSG00000270011	ZNF559-ZNF177	-	
ENSG00000270012	-	-	
ENSG00000270015	-	-	
ENSG00000270016	-	-	
ENSG00000270017	-	-	
ENSG00000270018	-	-	
ENSG00000270019	-	-	
ENSG00000270020	-	-	
ENSG00000270021	-	-	
ENSG00000270022	-	-	
ENSG00000270024	-	-	
ENSG00000270028	-	-	
ENSG00000270030	-	-	
ENSG00000270031	-	-	
ENSG00000270033	-	-	
ENSG00000270035	-	-	
ENSG00000270036	-	-	
ENSG00000270038	-	-	
ENSG00000270039	-	-	
ENSG00000270040	-	-	
ENSG00000270041	-	-	
ENSG00000270048	-	-	
ENSG00000270049	ATP6V0D1-DT	-	
ENSG00000270050	-	-	
ENSG00000270052	-	-	
ENSG00000270055	-	-	
ENSG00000270058	-	-	
ENSG00000270059	-	-	
ENSG00000270060	-	-	
ENSG00000270061	-	-	
ENSG00000270062	-	-	
ENSG00000270066	-	-	
ENSG00000270067	-	-	
ENSG00000270068	-	-	
ENSG00000270069	-	-	
ENSG00000270071	-	-	
ENSG00000270072	-	-	
ENSG00000270073	-	-	
ENSG00000270074	-	-	
ENSG00000270075	-	-	
ENSG00000270076	-	-	
ENSG00000270077	-	-	
ENSG00000270081	-	-	
ENSG00000270082	-	-	
ENSG00000270083	-	-	
ENSG00000270084	-	-	
