Ensembl gene ID	Previous symbol	Alias symbol	Approved symbol
ENSG00000138443		ABI2B	ABI2
ENSG00000138443		AblBP3	ABI2
ENSG00000138443		argBPIA	ABI2
ENSG00000138443		SSH3BP2	ABI2
ENSG00000108798		NESH	ABI3
ENSG00000108798		SSH3BP3	ABI3
ENSG00000154175		NESHBP	ABI3BP
ENSG00000154175		DKFZP586L2024	ABI3BP
ENSG00000154175		TARSH	ABI3BP
ENSG00000119328	C9orf6	CG-8	ABITRAM
ENSG00000119328	FAM206A	CG-8	ABITRAM
ENSG00000119328	C9orf6	FLJ20457	ABITRAM
ENSG00000119328	FAM206A	FLJ20457	ABITRAM
ENSG00000119328	C9orf6	Simiate	ABITRAM
ENSG00000119328	FAM206A	Simiate	ABITRAM
ENSG00000251106	FAM206BP		ABITRAMP1
ENSG00000097007	ABL	JTK7	ABL1
ENSG00000097007	ABL	c-ABL	ABL1
ENSG00000097007	ABL	p150	ABL1
ENSG00000143322	ABLL	ARG	ABL2
ENSG00000099204	LIMAB1	abLIM	ABLIM1
ENSG00000099204	ABLIM	abLIM	ABLIM1
ENSG00000099204	LIMAB1	limatin	ABLIM1
ENSG00000099204	ABLIM	limatin	ABLIM1
ENSG00000163995		KIAA1808	ABLIM2
ENSG00000173210		KIAA0843	ABLIM3
ENSG00000175164		A3GALNT	ABO
ENSG00000175164		A3GALT1	ABO
ENSG00000159842		MDB	ABR
ENSG00000174429		STARS	ABRA
ENSG00000146386	C6orf115	PRO2013	ABRACL
ENSG00000146386	C6orf115	HSPC280	ABRACL
ENSG00000146386	C6orf115	Costars	ABRACL
ENSG00000163322	CCDC98	FLJ13614	ABRAXAS1
ENSG00000163322	FAM175A	FLJ13614	ABRAXAS1
ENSG00000163322	CCDC98	ABRA1	ABRAXAS1
ENSG00000163322	FAM175A	ABRA1	ABRAXAS1
ENSG00000163322	CCDC98	ABRAXAS	ABRAXAS1
ENSG00000163322	FAM175A	ABRAXAS	ABRAXAS1
ENSG00000165660	KIAA0157	Em:AC068896.4	ABRAXAS2
ENSG00000165660	FAM175B	Em:AC068896.4	ABRAXAS2
ENSG00000165660	KIAA0157	ABRO1	ABRAXAS2
ENSG00000165660	FAM175B	ABRO1	ABRAXAS2
ENSG00000146109		Esf2	ABT1
ENSG00000250496			ABT1P1
ENSG00000114626		BPOZ	ABTB1
ENSG00000114626		EF1ABP	ABTB1
ENSG00000114626		Btb3	ABTB1
ENSG00000114626		BTBD21	ABTB1
ENSG00000166016		DKFZP586C1619	ABTB2
ENSG00000166016		BTBD22	ABTB2
ENSG00000166016		ABTB2A	ABTB2
ENSG00000060971			ACAA1
ENSG00000167315		DSAEC	ACAA2
ENSG00000278540	ACAC	ACC1	ACACA
ENSG00000278540	ACC	ACC1	ACACA
ENSG00000076555		HACC275	ACACB
ENSG00000076555		ACC2	ACACB
ENSG00000076555		ACCB	ACACB
			ACAD
ENSG00000151498			ACAD8
ENSG00000177646		NPD002	ACAD9
ENSG00000177646		MGC14452	ACAD9
ENSG00000111271		MGC5601	ACAD10
ENSG00000240303		FLJ12592	ACAD11
ENSG00000115361		LCAD	ACADL
ENSG00000115361		ACAD4	ACADL
ENSG00000117054		MCAD	ACADM
ENSG00000117054		MCADH	ACADM
ENSG00000117054		ACAD1	ACADM
ENSG00000122971		SCAD	ACADS
ENSG00000122971		ACAD3	ACADS
ENSG00000196177		SBCAD	ACADSB
ENSG00000196177		ACAD7	ACADSB
ENSG00000072778		VLCAD	ACADVL
ENSG00000072778		LCACD	ACADVL
ENSG00000072778		ACAD6	ACADVL
ENSG00000157766	MSK16	CSPGCP	ACAN
ENSG00000157766	CSPG1	CSPGCP	ACAN
ENSG00000157766	AGC1	CSPGCP	ACAN
ENSG00000072818	CENTB1	KIAA0050	ACAP1
ENSG00000114331	CENTB2	KIAA0041	ACAP2
ENSG00000114331	CENTB2	CNT-B2	ACAP2
ENSG00000229325			ACAP2-IT1
ENSG00000131584	CENTB5	KIAA1716	ACAP3
ENSG00000075239	ACAT	THIL	ACAT1
ENSG00000120437			ACAT2
ENSG00000182827	GOLPH1	GCP60	ACBD3
ENSG00000182827	GOCAP1	GCP60	ACBD3
ENSG00000182827	GOLPH1	PAP7	ACBD3
ENSG00000182827	GOCAP1	PAP7	ACBD3
ENSG00000234478		RP11-275I14.4	ACBD3-AS1
ENSG00000181513		FLJ13322	ACBD4
ENSG00000107897		DKFZp434A2417	ACBD5
ENSG00000107897		KIAA1996	ACBD5
ENSG00000230124		MGC2404	ACBD6
ENSG00000176244		FLJ38219	ACBD7
ENSG00000176244		bA455B2.2	ACBD7
ENSG00000110455		PHACS	ACCS
ENSG00000110455		ACS	ACCS
ENSG00000205126			ACCSL
ENSG00000102977		Ptop	ACD
ENSG00000102977		Pip1	ACD
ENSG00000102977		Tpp1	ACD
ENSG00000102977		Tint1	ACD
ENSG00000159640	DCP1	ACE1	ACE
ENSG00000159640	DCP1	CD143	ACE
ENSG00000130234		ACEH	ACE2
ENSG00000224353			ACE3P
ENSG00000167769	ASAH3		ACER1
ENSG00000177076	ASAH3L	FLJ41587	ACER2
ENSG00000177076	ASAH3L	ALKCDase2	ACER2
ENSG00000180105			ACER2P1
ENSG00000078124	PHCA	FLJ11238	ACER3
ENSG00000078124	PHCA	APHC	ACER3
ENSG00000087085	YT		ACHE
ENSG00000100813	ACINUS	KIAA0670	ACIN1
ENSG00000100813	ACINUS	fSAP152	ACIN1
ENSG00000213088	FY	CCBP1	ACKR1
ENSG00000213088	DARC	CCBP1	ACKR1
ENSG00000213088	FY	GPD	ACKR1
ENSG00000213088	DARC	GPD	ACKR1
ENSG00000213088	FY	Dfy	ACKR1
ENSG00000213088	DARC	Dfy	ACKR1
ENSG00000213088	FY	CD234	ACKR1
ENSG00000213088	DARC	CD234	ACKR1
ENSG00000144648	CMKBR9	CCR10	ACKR2
ENSG00000144648	CCBP2	CCR10	ACKR2
ENSG00000144648	CMKBR9	D6	ACKR2
ENSG00000144648	CCBP2	D6	ACKR2
ENSG00000144648	CMKBR9	CCR9	ACKR2
ENSG00000144648	CCBP2	CCR9	ACKR2
ENSG00000144476	CMKOR1	RDC1	ACKR3
ENSG00000144476	CXCR7	RDC1	ACKR3
ENSG00000144476	CMKOR1	GPR159	ACKR3
ENSG00000144476	CXCR7	GPR159	ACKR3
ENSG00000129048	CCRL1	CCR11	ACKR4
ENSG00000129048	CCRL1	CCBP2	ACKR4
ENSG00000129048	CCRL1	VSHK1	ACKR4
ENSG00000129048	CCRL1	CCX-CKR	ACKR4
ENSG00000129048	CCRL1	PPR1	ACKR4
ENSG00000225415	CCRL1P	dJ509I19.4	ACKR4P1
ENSG00000225415	CCRL1P1	dJ509I19.4	ACKR4P1
			ACLS
